City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Souillac,MU,-20.5167,57.5167,75.58,73,40,10.36,scattered clouds
224,Nemuro,JP,43.3236,145.575,24.1,75,4,12.75,clear sky
225,Bauru,BR,-22.3147,-49.0606,85.82,58,75,8.05,broken clouds
226,Douglas,US,41.3,-96.167,11.75,67,0,11.5,clear sky
227,Malchin,DE,53.7333,12.7833,44.98,91,100,12.08,overcast clouds
228,Brigantine,US,39.4101,-74.3646,42.01,52,0,8.05,clear sky
229,Corn Island,NI,12.1694,-83.0418,80.58,76,59,19.77,broken clouds
230,Saint George,US,37.1041,-113.5841,43.63,52,0,4.61,clear sky
231,Emba,KZ,48.8264,58.1442,11.21,93,100,8.68,overcast clouds
232,Shuangcheng,CN,45.35,126.2833,4.68,96,100,6.49,light snow
233,Conde,BR,-7.2597,-34.9075,85.46,58,20,11.5,few clouds
234,Asahikawa,JP,43.7678,142.3703,20.93,94,100,7.14,light snow
235,Dikson,RU,73.5069,80.5464,-2.63,95,100,8.3,overcast clouds
236,Aden,YE,12.7794,45.0367,77.9,72,0,10.27,clear sky
237,Tasiilaq,GL,65.6145,-37.6368,14.16,58,9,4.14,clear sky
238,Cherskiy,RU,68.75,161.3,20.1,69,100,6.44,overcast clouds
239,Sovetskaya Gavan,RU,48.9723,140.2878,-1.95,78,1,8.19,clear sky
240,Kavieng,PG,-2.5744,150.7967,80.67,79,100,7.02,moderate rain
241,Pandan,PH,14.0453,124.1694,77.13,87,52,8.05,broken clouds
242,Mzimba,MW,-11.9,33.6,63.48,94,100,3.49,light rain
243,Harper,LR,4.375,-7.7169,79.54,80,28,8.43,scattered clouds
244,Quattro Castella,IT,44.635,10.4743,41.88,87,100,1.34,overcast clouds
245,Biloela,AU,-24.4167,150.5,61.74,85,2,6.29,clear sky
246,Coahuayana,MX,18.7333,-103.6833,87.49,36,0,6.69,clear sky
247,Ribeira Grande,PT,38.5167,-28.7,64.8,94,75,20.0,broken clouds
248,Yershov,RU,51.3513,48.2766,20.97,95,100,9.22,overcast clouds
249,Maxixe,MZ,-23.8597,35.3472,75.74,79,100,8.37,overcast clouds
250,Navolato,MX,24.7672,-107.6944,84.63,30,100,8.72,overcast clouds
251,Parabel,RU,58.6978,81.4825,27.93,91,100,13.6,light snow
252,Quelimane,MZ,-17.8786,36.8883,75.15,100,75,2.3,moderate rain
253,Champasak,LA,14.75,106.0,65.01,88,43,1.83,scattered clouds
254,Camana,PE,-16.6228,-72.7111,75.47,73,49,9.06,scattered clouds
255,Umm Lajj,SA,25.0213,37.2685,75.79,55,0,5.14,clear sky
256,Nyurba,RU,63.2842,118.3319,-43.47,100,65,1.81,broken clouds
257,Hasaki,JP,35.7333,140.8333,35.22,48,17,1.68,few clouds
258,Russell,US,32.3502,-85.1999,47.19,81,100,8.05,moderate rain
259,Palu,ID,-0.8917,119.8707,74.97,93,100,2.42,overcast clouds
260,Mehamn,NO,71.0357,27.8492,22.95,63,0,9.22,clear sky
261,Todos Santos,MX,23.45,-110.2167,81.05,72,0,5.35,clear sky
262,Saint-Paul,RE,-21.0096,55.2707,77.11,83,96,3.27,light rain
263,Hurzuf,UA,44.55,34.2833,40.84,44,13,8.21,few clouds
264,Talnakh,RU,69.4865,88.3972,-25.8,98,100,1.61,overcast clouds
265,Lagoa,PT,39.05,-27.9833,62.98,91,79,29.53,broken clouds
266,Mount Gambier,AU,-37.8333,140.7667,64.69,38,100,7.05,light rain
267,Zhenjiang,CN,32.2092,119.4342,41.81,68,69,9.13,broken clouds
268,Udachnyy,RU,66.4167,112.4,-31.56,73,90,4.99,overcast clouds
269,Semey,KZ,50.4111,80.2275,13.15,81,15,13.8,few clouds
270,Walvis Bay,NA,-22.9575,14.5053,67.08,77,0,9.22,clear sky
271,Westerland,DE,54.9079,8.3033,46.42,93,100,13.8,overcast clouds
272,Kaniama,CD,-7.5667,24.1833,65.3,96,100,2.64,overcast clouds
273,Thinadhoo,MV,0.5333,72.9333,81.18,72,100,11.5,overcast clouds
274,Basoko,CD,1.2391,23.616,73.49,92,77,4.7,broken clouds
275,Clovis,US,36.8252,-119.7029,59.67,100,100,0.0,mist
276,Ginda,IN,30.6945,78.4932,43.54,14,5,7.0,clear sky
277,Necochea,AR,-38.5473,-58.7368,78.48,48,100,24.29,overcast clouds
278,Chengdu,CN,30.6667,104.0667,48.94,100,0,2.24,clear sky
279,Ancud,CL,-41.8697,-73.8203,62.02,80,100,18.25,light rain
280,Luderitz,NA,-26.6481,15.1594,69.71,61,0,23.91,clear sky
281,Mission,US,26.2159,-98.3253,67.98,68,0,11.5,clear sky
282,Dongsheng,CN,39.8161,109.9776,11.62,73,86,12.75,overcast clouds
283,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,93,20,4.47,light snow
284,Kahului,US,20.8947,-156.47,76.84,68,40,21.85,scattered clouds
285,La Ronge,CA,55.1001,-105.2842,-16.35,63,20,5.75,few clouds
286,Sabang,ID,5.8933,95.3214,80.26,78,85,9.13,overcast clouds
287,Ikungi,TZ,-5.1333,34.7667,63.37,85,100,4.18,overcast clouds
288,Ozernovskiy,RU,51.5,156.5167,27.72,86,100,2.89,overcast clouds
289,Lavrentiya,RU,65.5833,-171.0,12.54,74,0,7.61,clear sky
290,Kurilsk,RU,45.2333,147.8833,27.01,78,100,23.0,light snow
291,Narasannapeta,IN,18.4167,84.05,65.77,75,6,5.41,clear sky
292,Muros,ES,42.7762,-9.0603,59.85,81,70,15.95,broken clouds
293,Codrington,AU,-38.2667,141.9667,59.32,59,100,9.22,overcast clouds
294,Korla,CN,41.7597,86.1469,20.62,49,5,4.47,clear sky
295,Leisure City,US,25.4954,-80.4292,80.02,71,40,16.11,scattered clouds
296,Norman Wells,CA,65.282,-126.8329,-41.76,66,40,3.44,scattered clouds
297,Kyabe,TD,9.4515,18.9449,81.23,18,94,2.42,overcast clouds
298,Peniche,PT,39.3558,-9.3811,62.29,89,100,12.17,overcast clouds
299,Naze,JP,28.3667,129.4833,63.52,71,99,16.28,overcast clouds
300,Tutoia,BR,-2.7619,-42.2744,82.51,69,100,13.42,overcast clouds
301,Gurlan,UZ,41.8447,60.3919,37.47,60,100,11.68,overcast clouds
302,Namatanai,PG,-3.6667,152.4333,78.85,81,100,6.44,overcast clouds
303,Pangoa,PE,-12.1167,-73.0,75.34,92,100,2.06,overcast clouds
304,Tuatapere,NZ,-46.1333,167.6833,46.9,84,53,3.09,broken clouds
305,Lorengau,PG,-2.0226,147.2712,80.26,79,100,5.21,overcast clouds
306,Opuwo,NA,-18.0607,13.84,75.29,26,0,11.59,clear sky
307,Yerbogachen,RU,61.2767,108.0108,-16.04,96,100,6.8,overcast clouds
308,Ugoofaaru,MV,5.6667,73.0,80.1,73,100,2.53,overcast clouds
309,Quatre Cocos,MU,-20.2078,57.7625,77.09,72,30,9.62,scattered clouds
310,Lebu,CL,-37.6167,-73.65,65.26,73,73,14.94,broken clouds
311,Provideniya,RU,64.3833,-173.3,18.1,78,11,13.04,few clouds
312,Boda,CF,4.3189,17.4695,78.94,23,100,1.72,overcast clouds
313,Kununurra,AU,-15.7667,128.7333,75.18,94,75,5.75,moderate rain
314,Jinchang,CN,38.4953,102.1739,26.49,40,7,7.96,clear sky
315,Houlton,US,46.1262,-67.8403,34.21,67,100,9.22,light rain
316,Erzin,TR,36.9559,36.2,52.48,67,100,4.65,overcast clouds
317,Fort Frances,CA,48.5999,-93.4003,-1.95,82,100,5.01,overcast clouds
318,Anloga,GH,5.7947,0.8973,81.7,76,49,11.25,scattered clouds
319,Qaqortoq,GL,60.7167,-46.0333,7.66,63,0,7.67,clear sky
320,Quesnel,CA,52.9999,-122.5029,-39.5,67,40,0.0,scattered clouds
321,Kangaatsiaq,GL,68.3065,-53.4641,9.73,76,37,6.93,scattered clouds
322,Mogadishu,SO,2.0371,45.3438,78.8,86,11,20.67,few clouds
323,Puerto Carreno,CO,6.189,-67.4859,87.78,58,75,9.22,broken clouds
324,Penzance,GB,50.1186,-5.5371,50.68,79,89,15.55,overcast clouds
325,Bethel,US,41.3712,-73.414,40.03,58,0,11.5,clear sky
326,Yar-Sale,RU,66.8333,70.8333,-15.38,96,100,14.67,overcast clouds
327,Mount Isa,AU,-20.7333,139.5,74.97,94,99,1.14,overcast clouds
328,Honiara,SB,-9.4333,159.95,76.96,87,48,5.06,scattered clouds
329,Muli,MV,2.9167,73.5667,79.74,78,100,8.61,overcast clouds
330,Freeport,US,40.6576,-73.5832,41.25,51,0,17.27,clear sky
331,Khasan,RU,42.4308,130.6434,21.87,72,100,2.1,overcast clouds
332,Marsh Harbour,BS,26.5412,-77.0636,73.13,75,100,19.6,overcast clouds
333,Fukue,JP,32.6881,128.8419,54.68,68,100,15.41,overcast clouds
334,Port Blair,IN,11.6667,92.75,82.44,69,40,5.75,haze
