City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Oktyabrskoye,RU,2022-12-19 19:05:55,43.0645,44.7417,28.54,93,100,8.95
221,Kruisfontein,ZA,2022-12-19 19:05:55,-34.0033,24.7314,65.88,74,99,16.35
222,Chapleau,CA,2022-12-19 19:05:55,47.8405,-83.4034,14.2,84,100,5.1
223,Manzhouli,CN,2022-12-19 19:05:55,49.6,117.4333,-9.81,99,99,3.51
224,Kayes,ML,2022-12-19 19:05:56,14.0,-11.0,85.98,11,100,6.87
225,Moyale,KE,2022-12-19 19:05:56,3.5167,39.0584,71.35,25,10,10.83
226,Pangnirtung,CA,2022-12-19 19:05:56,66.1451,-65.7125,17.6,93,100,3.44
227,Viransehir,TR,2022-12-19 19:05:57,37.2353,39.7631,50.05,49,7,4.29
228,Mindelo,CV,2022-12-19 19:05:57,16.8901,-24.9804,76.55,65,20,18.41
229,Muros,ES,2022-12-19 19:05:57,42.7762,-9.0603,60.67,95,100,25.05
230,Nikolskoye,RU,2022-12-19 19:05:58,59.7035,30.7861,31.91,97,100,6.73
231,Watsa,CD,2022-12-19 19:06:58,3.0372,29.5355,67.86,66,18,1.99
232,Tabou,CI,2022-12-19 19:06:58,4.423,-7.3528,80.28,77,11,7.43
233,Ilulissat,GL,2022-12-19 19:06:59,69.2167,-51.1,23.02,39,40,13.8
234,Geraldton,AU,2022-12-19 19:06:59,-28.7667,114.6,73.81,53,100,5.75
235,Tura,IN,2022-12-19 19:06:59,25.5198,90.2201,60.37,81,52,2.19
236,Lagoa,PT,2022-12-19 19:07:00,39.05,-27.9833,60.96,81,0,28.5
237,Mackay,AU,2022-12-19 19:07:00,-21.15,149.2,74.68,60,100,18.99
238,Eyl,SO,2022-12-19 19:02:21,7.9803,49.8164,78.85,61,71,23.35
239,Murchison,NZ,2022-12-19 19:07:00,-41.8,172.3333,57.38,95,84,2.15
240,Ponta Delgada,PT,2022-12-19 19:07:01,37.7333,-25.6667,65.5,88,40,14.97
241,Idrinskoye,RU,2022-12-19 19:07:01,54.3708,92.1358,4.66,97,100,2.59
242,Chongwe,ZM,2022-12-19 19:07:02,-15.3292,28.682,68.54,82,96,4.0
243,Fort Nelson,CA,2022-12-19 19:07:02,58.8053,-122.7002,-22.99,93,30,0.94
244,Pacific Grove,US,2022-12-19 19:07:03,36.6177,-121.9166,55.38,78,0,1.99
245,Dakar,SN,2022-12-19 19:07:03,14.6937,-17.4441,86.88,67,0,17.98
246,Canto Do Buriti,BR,2022-12-19 19:07:04,-8.11,-42.9444,95.58,27,56,4.94
247,Severnyy-Kospashskiy,RU,2022-12-19 19:07:05,59.0925,57.8008,5.61,80,100,11.7
248,Sao Joao Da Barra,BR,2022-12-19 19:07:05,-21.6403,-41.0511,73.49,90,100,18.12
249,Duluth,US,2022-12-19 19:03:46,46.7833,-92.1066,11.55,79,75,8.05
250,Bull Savanna,JM,2022-12-19 19:07:06,17.8868,-77.5902,81.48,60,13,11.72
251,Naze,JP,2022-12-19 19:07:06,28.3667,129.4833,55.06,73,40,8.75
252,Santo Antonio Do Ica,BR,2022-12-19 19:07:07,-3.1022,-67.9397,82.6,81,100,0.78
253,Alice Springs,AU,2022-12-19 19:03:35,-23.7,133.8833,72.95,73,100,9.22
254,Roma,US,2022-12-19 19:03:47,43.2128,-75.4557,33.39,80,100,5.01
255,Westerland,DE,2022-12-19 19:07:08,54.9079,8.3033,44.62,100,100,17.27
256,Sakakah,SA,2022-12-19 19:07:08,29.9697,40.2064,55.11,43,0,8.05
257,Norman Wells,CA,2022-12-19 19:07:09,65.282,-126.8329,-25.6,99,99,1.66
258,Kawalu,ID,2022-12-19 19:07:09,-7.3817,108.2082,73.29,96,50,1.03
259,Iqaluit,CA,2022-12-19 19:07:10,63.7506,-68.5145,13.42,96,100,5.19
260,Calama,CL,2022-12-19 19:07:10,-22.4667,-68.9333,74.14,23,0,21.97
261,Anadyr,RU,2022-12-19 19:07:11,64.75,177.4833,28.0,92,100,32.99
262,Derzhavinsk,KZ,2022-12-19 19:07:11,51.1,66.3167,21.29,73,100,19.77
263,Otane,NZ,2022-12-19 19:07:12,-39.8833,176.6333,63.01,94,95,1.83
264,Kuala Sungai Baru,MY,2022-12-19 19:07:12,2.3594,102.0353,78.33,90,58,6.62
265,Malanje,AO,2022-12-19 19:07:13,-9.5402,16.341,66.69,69,100,1.59
266,Port Elizabeth,ZA,2022-12-19 19:05:38,-33.918,25.5701,68.09,87,59,7.0
267,Carlos Antonio Lopez,PY,2022-12-19 19:07:14,-26.4,-54.7667,90.1,34,25,2.15
268,Hovd,MN,2022-12-19 19:07:15,48.0056,91.6419,0.88,86,100,2.86
269,Chokurdakh,RU,2022-12-19 19:07:15,70.6333,147.9167,-7.89,100,98,2.77
270,Otaki,NZ,2022-12-19 19:07:17,-40.7583,175.15,63.95,86,100,1.99
271,Kilindoni,TZ,2022-12-19 19:07:17,-7.9139,39.6668,82.04,75,100,17.02
272,Jacmel,HT,2022-12-19 19:07:18,18.2342,-72.5347,91.24,58,23,7.47
273,Broome,US,2022-12-19 19:07:18,42.2506,-75.833,32.09,76,100,11.5
274,Thompson,CA,2022-12-19 19:07:20,55.7435,-97.8558,-5.15,83,100,8.41
275,Sao Domingos Do Maranhao,BR,2022-12-19 19:07:20,-5.5758,-44.3853,85.23,64,90,1.99
276,Sabzevar,IR,2022-12-19 19:07:19,36.2126,57.6819,42.94,59,0,1.61
277,Kajaani,FI,2022-12-19 19:08:21,64.2273,27.7285,23.05,86,75,6.91
278,Valparaiso,CL,2022-12-19 19:08:22,-33.0393,-71.6273,73.63,60,0,12.66
279,Leningradskiy,RU,2022-12-19 19:08:22,69.3833,178.4167,6.3,85,10,8.93
280,Wajima,JP,2022-12-19 19:08:23,37.4,136.9,38.23,72,97,10.49
281,Kagadi,UG,2022-12-19 19:08:24,0.9606,30.7967,64.87,76,94,1.61
282,Baykit,RU,2022-12-19 19:08:24,61.67,96.37,-26.93,100,86,3.18
283,Padang,ID,2022-12-19 19:07:36,-0.9492,100.3543,76.78,85,58,4.09
284,Tiksi,RU,2022-12-19 19:08:25,71.6872,128.8694,-14.15,99,57,5.59
285,Dhidhdhoo,MV,2022-12-19 19:08:26,6.8833,73.1,81.66,74,100,8.37
286,Khorinsk,RU,2022-12-19 19:08:26,52.1657,109.7726,-2.61,96,55,5.75
287,Aswan,EG,2022-12-19 19:08:27,24.0934,32.907,73.63,31,0,11.79
288,Tonk,IN,2022-12-19 19:08:28,26.1667,75.7833,57.92,38,33,2.95
289,Kathor,IN,2022-12-19 19:08:29,21.3,72.9333,74.05,31,32,6.67
290,Pangoa,PE,2022-12-19 19:08:30,-12.1167,-73.0,77.52,77,91,3.06
291,Isangel,VU,2022-12-19 19:08:31,-19.55,169.2667,79.09,79,2,0.63
292,Sayyan,YE,2022-12-19 19:08:31,15.1718,44.3244,46.45,59,7,4.56
293,Nosy Varika,MG,2022-12-19 19:08:32,-20.5833,48.5333,77.23,88,98,10.54
