City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Paita,PE,76.69,overcast clouds,-5.0892,-81.1144,Victor's
543,Antalaha,MG,75.29,clear sky,-14.9003,50.2788,Hôtel Florida
549,Bonbon,PH,76.62,broken clouds,10.2245,123.5573,Alex Apartelle
553,Nabire,ID,75.79,overcast clouds,-3.3667,135.4833,Hotel Anggrek
554,Ranong,TH,72.5,scattered clouds,9.9658,98.6348,Rattana Sin Hotel
562,Whyalla,AU,71.87,moderate rain,-33.0333,137.5833,Whyalla Playford Apartments
563,Pitimbu,BR,86.59,clear sky,-7.4706,-34.8086,Pousada Brisa Mar
566,Iquitos,PE,80.64,overcast clouds,-3.7481,-73.2472,Marfil del Amazonas
572,Pontianak,ID,75.18,overcast clouds,-0.0333,109.3333,Golden Tulip Hotel
573,Sao Geraldo Do Araguaia,BR,82.36,moderate rain,-6.4006,-48.555,Tomazi Hotel
577,Valparaiso,CL,82.63,clear sky,-33.0393,-71.6273,Ibis Hotel
578,Kismayo,SO,79.09,scattered clouds,-0.3582,42.5454,Kismayo Hotel
579,Saint-Pierre,RE,76.91,few clouds,-21.3393,55.4781,Tropic Hotel
583,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Fidji Motel
584,Garowe,SO,75.25,clear sky,8.4054,48.4845,Red Sea
594,Kalabo,ZM,77.67,overcast clouds,-14.97,22.6814,Golden Lodge Luxury Acomodation
595,Pangai,TO,80.71,few clouds,-19.8,-174.35,Billy's Place
605,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Hotel Cititel Express
608,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,Hotel Forum
614,Jeremie,HT,80.37,scattered clouds,18.65,-74.1167,Delivrance Hotel
616,Lazaro Cardenas,MX,83.08,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
618,Atakpame,TG,81.61,few clouds,7.5333,1.1333,Roc Hotel
619,Monrovia,LR,80.13,broken clouds,6.3005,-10.7969,Bella Casa Hotel
624,Meulaboh,ID,74.23,light rain,4.1363,96.1285,Hotel Meuligou
628,Vanimo,PG,76.53,light rain,-2.6741,141.3028,CBC Guesthouse
630,Vaitape,PF,80.31,few clouds,-16.5167,-151.75,Oa Oa Lodge
631,Ilo,PE,74.26,clear sky,-17.6394,-71.3375,Hostal Central
632,Ciudad Bolivar,VE,86.22,overcast clouds,8.1222,-63.5497,Paoca
643,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,فندق أدرار
651,Mayumba,GA,77.43,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
653,Kathu,TH,82.74,overcast clouds,7.9178,98.3332,Tinidee Hotel
658,Guanica,PR,85.98,clear sky,17.9716,-66.908,Copamarina Beach Resort
659,Novo Aripuana,BR,81.36,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
660,Rio Grande,BR,78.91,few clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
666,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,Divers Lodge Lembeh
668,Banda Aceh,ID,77.81,overcast clouds,5.5577,95.3222,Hotel 61
673,Vallenar,CL,88.34,clear sky,-28.5708,-70.7581,Hotel del Marqués
675,George Town,MY,80.53,scattered clouds,5.4112,100.3354,Page 63 hostel
677,Sao Felix Do Xingu,BR,81.12,overcast clouds,-6.6447,-51.995,Hotel Terraço
689,Weston,US,80.02,overcast clouds,26.1004,-80.3998,TownePlace Suites by Marriott Fort Lauderdale Weston
